Date,Rating,Title,Content,Pros,Cons
2017-07-26,5,"good place to workMachine Operator (Former Employee) - Reidsville, NC - July 26, 2017enjoyed working there.",the teamsters union sucked. the pay was great as well as the benefits. the lunch room had too many comforts where a lot of the employees camped out too long during breaks,great pay benefits,union sucked
2017-07-19,5,"ProductiveOperator (Former Employee) - Reidsville, NC - July 19, 2017It was great to work in a place where I could learn how  aluminum cans were made.","The hardest part of the job was it was just so hot. I got to met a lot of great people that was all willing to help get the job done, while also being safe.",Lunch was cooked for us after 50 safe days,Just hot
2017-07-13,5,"good jobCLT (Former Employee) - Bristol, VA - July 13, 2017was a great job, started out of high school for almost two years there, and loved the people that worked there.","everyone was easy going, and the time went by relatively quick for a factory.",fantastic money,hot hot hot
2017-07-13,5,I loved working at Ball Corporation - I wish they would not have closed.,"Laborer (Former Employee) - Weirton, WV - July 13, 2017Ball Corporation was a great place to work . I enjoyed working  with so many people on a daily basis . The truck drivers really were very nice and respectable.They were always a highlight to my day . I would have stayed at this job until retirement  but unfortunately they closed the plant.  My co-workers and I always worked very well together.  I learned what you give is what you get back in return.",Free lunches when there was good production.,
2017-07-09,4,"Ball CorporationExecutive Assistant (Former Employee) - Westminster, CO - July 9, 2017Progressive and innovative global can manufacturing company.","Friendly environment, employee-oriented.  Little growth opportunity for employees.  A little behind in office technology.",,
2017-07-07,5,"Production of Aluminium cansGeneral Laborer (Former Employee) - Golden, CO - July 7, 201712 hr shifts with Four on Four Off rotating each month to night and days.","Operating Machine Presses and Packing MachinesManagement was get to work with. Everyone that I had meet at BALL where very generous and where always helpful when you had a question. I had worked with a wonderful crew that we all got along no drama. I'm the type that will ask how things work on machinery. The machine operator would explain and by the time I was departing from BALL. I was already helping maintenance with repairing machines. The hardest part of the job was its factory work so the building does get very hot inside during the summer, but at breaks the front office would have ice cream in the break rooms for us.I really enjoyed working at BALL. I would go back there in a heart beat.",,
2017-07-06,5,"Great place to workLine Mechanic (Former Employee) - Dandridge, TN - July 6, 2017One of the best places to work in East Tennessee.","Great pay, good benefits, and plenty of perks.  Only down side was the heat in the summer but that's with any factory job.",,
2017-06-28,5,Good place to work.,"Production Utility (Former Employee) - Weirton, WV - June 28, 2017Ball corporation was great place to work. I was able to make a good living working there. There was a good work/life balance and the benefits provided to me were great.",,
2017-06-15,3,"Poor leadershipAssembly Line Technician (Former Employee) - Springdale, AR - June 15, 2017If you are a suck up or willing to do anything asked without questions then you might fit in.","The managers at all levels have their favorites and no matter what they do will never get in trouble. If a product is messed up and they don't like you then your blamed, even when you tried to solve it. They say the company believes in six sigma, but that's a lie. It's I've been doing it this way for years and you don't know better. The pay is good if you can handle working hard. The benefits aren't bad either. The company just needs to get rid of toxic leadership if they want to be able to retain employees. Right now it's basically if you know someone or related to someone you get promoted.",Pay amd benefits,Management
2017-06-04,5,"I had HR experience with my payroll and accounting positionsAccountant (Former Employee) - Weirton, WV - June 4, 2017I advanced in many aspects with Ball Corporation.","I started in basic accounting.  I took over the payroll of 600+ employees, hourly and salary.  I also learned in depth how to perform the human resource manager position.",,
2017-06-03,3,"Manufacturing companyAccounting Clerk (Former Employee) - Golden, CO - June 3, 2017I enjoyed the people i worked with.",I started as a temporary and got hired on permanent.  I worked as an accounts payable matching purchase orders with invoices.  Then went to payroll.  Entered time and printed checks and direct deposits.,,
2017-05-29,5,Tiring work-place.,"Front Desk Receptionist (Former Employee) - Monticello, IN 47960 - May 29, 2017A typical work day is long hours.I learned how to do more than just Office Work, I did just about everything I could.Management was very polite, but very stern.Workplace was very clean, the janitors did their jobs well.The hardest part of the job was sitting majority of the day typing up things or sending out mail.The most enjoyable part of my job was the staff. They are so amazing, and very nice.",The staff.,"Sometimes short breaks, sometimes no breaks."
2017-05-26,4,"Difficult workforcePlant Manager (Former Employee) - Oakdale, CA - May 26, 2017The Oakdale can plant was purchased from ConAgra, so the first months were spent cleaning the plant up and converting from ConAgra/United Can Company systems to Ball systems.","I learned how to work with the Teamsters Union. The management was very experienced, but understaffed.The culture was not a Ball culture, but most people were very receptive to the change. The hardest was changing the culture. The most enjoyable was seeing the majority embrace the change.",Expanding the plant and staff.,The first contract negotiations.
2017-05-26,5,"Very Well run companyPlant Production Manager Manager (Former Employee) - Findlay Ohio - May 26, 2017Worked for 37 years from my 18th birthday.","They trained me, payed for my college and promoted me from an entry level line operator to plant manager. I worked in 13 plants in 4 different countries around the world and was always treated fantastic.",Well managed cleanest plants in their industies,Non
2017-05-25,5,"Great JobGeneral Warehouseman (Former Employee) - Riverbank, CA - May 25, 2017Laid  off due to cut backs .",I wish they would have had a place for me . I wanted to be with them for the long term.  I had perfect attendance for the time I was there and had hoped to continue my employment,Good people,Cut backs
2017-05-21,4,"Working In A Can PlantMachine Technician / Maintainer (Current Employee) - Tampa, FL - May 21, 2017Long 12Hr.","Days or Nights. Lots of Forced Overtime For Everyone, Hot Smoky Work Environment,  Great Pay Checks, Average Benefits, Don't Apply Unless Your Ready To Commit.","Pays well, Average Benefits.","Hard Work, Very hot summers 95 Degrees+ in your work areas."
2017-05-19,5,"Fun and comical but serious work enviormentPalletizer Operator (Former Employee) - Wallkill, NY - May 19, 2017Great place, great people, great pay.",Hours are decent with 4 days on 4 days off. Coming from a temporary summer hire you wanna be here for the money.,,
2017-05-13,4,Good leadership and excellent coworkers on the floor.,"End Bagger (Former Employee) - Columbus, OH - May 13, 2017I was fortunate to have an outstanding supervisor and chief on my shift.  The other employees I worked with were possibly some of the best people I've ever met under one roof.  That said, the job is incredibly physically demanding, very hot and extremely loud. The 4-on/4-off schedule was nice, but 4 12-hour days in a row every week is pretty taxing with that kind of work in that kind of environment.  It's survivable, though.  The money is good, the benefits are adequate but not impressive. There's plenty of opportunity to learn other positions and earn even better wages.The most senior management at the plant level is kind of detached from the floor, in my opinion. They do put in an appearance at least once a day, but there seems to be a lot more fist-shaking in the plant meetings than anything else. If the lines aren't running, then do what needs to be done to fix them.  Nobody wants hours of downtime every day, wage or salary. The training in this plant is fast and loose, at best.","Great people, well-established company with an impressive portfolio.","Hot, loud, physically demanding work environment."
2017-05-12,1,"Not recommendedMachine Operator (Former Employee) - Hubbard, OH - May 12, 2017It is a union shop with poor attention to the rights or well being of the workers.",The atmosphere is dreary and monotonous. I was given no option on joining the union and I did not agree with any of the work practices or the limited interaction among the different departments,,
2017-05-11,4,"ProductiveMachine Operator/Group Leader (Former Employee) - Weirton, WV - May 11, 2017Some days were hard helping my other operators with a lot of change overs.",Learned a lot the 20 1/2 years I was their. We were like family their helping each other and watching each other.,,
2017-05-10,4,"Dynamic workplace with great peopleElectrical Project Engineer (Current Employee) - Westminster, CO - May 10, 2017Given the trust and ability to work on multiple parts of a project from start to finish with great people that care about each other and the success of the project.",,Flexible work hours,Significant amount of travel
2017-04-27,5,"Best Job EverPayroll Analyst (Former Employee) - Muncie, IN - April 27, 2017I worked at Ball for 10 years but unfortunately they relocated from Muncie to Colorado.","I loved the staff, management, my job, being rewarded and appreciated.  I truly miss working there.",Great People and always rewarded,They moved out of state
2017-04-26,5,"Productive educational with room for advancmentAssociate Coordinator of Planning & Control (Former Employee) - Broomfield, CO - April 26, 2017The environment at Ball corporation is fun, comfortable and enjoyably educational.",An over all place where advancement is welcome and encouraged. A global corporation working with different cultures throughout north south and central Americas.,Working on the honor system,Meeting upon Meeting
2017-04-11,4,Enjoyed working with Ball and at customers plants.,"Customer Service Representative (Former Employee) - Broomfield, CO - April 11, 2017Overall great job...Working on customer issues was the most challenging.  In most cases we resolved most reoccurring issues.  Enjoyed working at DeForest, WI. seamer shop, reviewed issues with other co-workers within the section.   Learned a lot within the short period of time I was employed there.",Working with personnel with alot of experience,none
2017-04-03,4,"Ball CorporationChemical Process Journeyman (Former Employee) - Middletown, NY - April 3, 2017Overall, Ball Corporation is an excellent place to work with a lot of room for advancement, excellent pay, and decent benefits.","If you're a skilled worker without a family, this is the place for you. The only downside is the hours worked. You work a swing shift, 4 days on and 4 days off, alternating days and nights working 12 hours at a time. If you can ignore the OT opportunities given, your time off is excellent. There will be mandated overtime days/nights for mechanical conversions and other forms of maintenance and training. The environment varies based on your job title, but most likely it will be relatively dirty, very loud,  extremely fast paced, and if machinery goes down, extremely time sensitive.  During summer time, certain areas of the plant reached upwards of 110 degrees (Fans and other forms of cooling methods were provided, So they did try). Management isn't perfect, but it is better than any other manufacturing facility I have ever worked with.","Union, Compensation, Benefits, Advancement","Hours, Swing-Shift, Extreme Environment"
2017-04-02,3,"Great Co-workersAdministrator (Current Employee) - Minnesota - April 2, 2017Co-workers were very friendly and will assist me if needed.",Work-life balance is challenging in competitive environment. My direct supervisor is a fantastic leader and very supportive.,Warm welcoming people,Conflicts with holiday and vacation time
2017-04-02,3,"Great place to workWarehouse Quality Control Inspector (Former Employee) - Dandridge, TN - April 2, 2017Good place to work, You learn about how to make different types of cans for different companies.",Job isn't really difficult at all just working swing shifts every month is different.,,
2017-03-24,5.019,,,,
2017-03-14,5,"Good people and great benefitsSupervisor, Administrative Services (Former Employee) - Broomfield, CO - March 14, 2017Family oriented business.","The culture and history are very interesting.  Company recently acquired Rexam and expanded to several new countries making Ball a global leader in the beverage, food and aerosol can industry.",,
2017-03-10,3,"extreme heat , fast pace and so loud you need ear plugs on a dailyMachine Maintenance Technician (Former Employee) - Monticello, IN - March 10, 2017compensation is great but you have no life and the heat gets to over 130 in the summer .",people have gotten heat stroke because they dont cool the facility accordingly to law. they do not follow hazardous waste guidlines correctly,pay,extremae heat and loud
2017-03-08,4,"Fun workplace with great benefitsMachinist (Former Employee) - DeForest, WI - March 8, 2017Loved working there but wasn't as busy or involved as I was used to or wanted to be.",I was a machinist and thought more things could have been done in house. The job was not hard and the people there are great,Catered meals every quarter,lots of bosses
2017-03-01,3,The departments at headquarters did not seem to work together well.,"Financial Accountant (Former Employee) - Charlotte, NC - March 1, 2017Only there seven months doing transition work since they acquired our company. They are closing the Charlotte office. Really can't rate the company as a whole.",,
2017-01-27,2,No future.,"They'll shut down in a few yearsCoater Operator (Former Employee) - Weirton, WV - January 27, 2017Ball run their plants until the tax breaks stop then shut down. Management is terrible. Plant managers ran jobs knowing of very unsafe work conditions. The ball Corp has been shutting down several plants over the past couple of years.  Not recommended if you're looking for a long term position.",It's a job. Good start for manufacturing exp,No future Terrible management unsafe conditions
2017-01-24,1,"Long hours, no family time.","Packer/Technician (Former Employee) - Canton, OH - January 24, 2017We worked 8-12 hr. days 5-7 days a week. There were a lot of meetings, safety training wasn't bad. If you made a mistake, punishment was very severe. Management is lacking and not forgiving. The hardest part was putting up with mismanagement and HR. The best part was leaving and going home.",decent pay and benefits,"short breaks, bad leadership, mismanagement"
2017-01-23,2,"Excellent payPress Mechanic (Former Employee) - Columbus, OH - January 23, 20174x12 rotating shift and high pay were the only real pros of the job.","Poor decisions by management, little to no accountability, and low morale made the job much less enjoyable than it would have otherwise been.","Four on, four off schedule. Great pay.",Management
2017-01-23,5,,,,
2017-01-19,5,"Plant 20 is closedJourneyman Lithographic Press Line Operator (Former Employee) - Weirton, WV - January 19, 2017Challenging job with many variables.",Learned printing skills before Ball acquired from U.S. Can. This business was not something that Ball is familiar with so there has been a revolving door of plant managers since the buyout. The people I worked with will remain friends forever.,,
2017-01-13,2,"Interrogation instead of being interviewed: Too many to interviewersprospective employee (Former Employee) - Columbus, OH - January 13, 2017I had a interview with four people at the same time not a good look for a company that only pays $17.",00 an hour. That's not a way to make the person being interviewed comfortable at all not friendly at all,,
2017-01-02,3,"Already ReviewedSpecialist (Former Employee) - Westminster, CO - January 2, 2017I have provided a review of this company and my time working there already, I enjoyed the work and the environment, and the knowledge gained during my employment.",,,
2017-01-01,2,"more concerned with stockholders then employeesPressman (Former Employee) - Weirton, WV - January 1, 2017I worked for Ball for 10 years.","At first it was great working for them because they were such a large company and seemed willing to put time and capital into the facility.  As the years passed many of their ""plans"" fell through and many of the promises never came to pass.  Eventually the union and local management began to but heads and not work together to find the common ground.  The local management only wanted to do what they wanted without any consideration given to hourly employees.  The company announced the closure of our plant at the end of year 2016 and even then they did very little to help employees.  They promised help finding with job fairs and resume classes.  They did have the resume classes, which I was told were of little value, and no job fairs.  There were many employees who tried to transfer to other Ball facilities but were met with very little consideration.  I think that was only because Ball does not like unions and does not want the union mentality in their plants.  The only thing I have seen that Ball does well is close plants.  They have close at least four plants before my plant, in the little time the ran our plant.",benefits,"don't listen to employees ideas, don't utilize skilled workers"
2016-12-22,5,"very fast paceFront End Maintainer (Former Employee) - Milwaukee, WI - December 22, 2016Constantly repairing and or maintenace on equipment, worked closely with a team of operators to maintain and run this monstrosity of a machine.","Management was great, my co workers were fun and it was very exhausting to say the least.","401k match, good people","12hrs, layoff"
2016-11-29,4,Very productive.,"Interesting workProduction Technician (Current Employee) - Conroe, TX - November 29, 2016I have worked in 2 plants. Process is the same.  The way work is executed is not the same.  No plant to plant communication.  Training is on the fly.  Sink or swim.",Pay,Plant structure
2016-11-16,4,"good pay, long hours and lots of overtimeGeneral Production Supervisor (Former Employee) - Fort Worth, TX - November 16, 2016Long hours lots of overtime required, very hot working inside of plant during the summer months.","You must be willing to work rotating shifts, nights, weekends and holidays",good pay,"working nights, weekends and holidays"
2016-09-28,2,"Monticello going down the drain quickProduction Technician (Former Employee) - Monticello, IN - September 28, 2016VP has been to Monticello multiple times this year due to overall poor performance on all of the lines.","Blames the management team but no action has been taken to correct it. As soon as the VP leaves management cracks down on hourly employees. High percentage of employees have low morale. Management doesn't back employees whatsoever. People in management who haven't ran machines in decades or more try to tell you how to do your job. Too concerned about cosmetics and image rather than performance, then they question why the plant is running poorly. Most of the management is made up of the slackers and brown nosers that used to work the floor. Poor and almost non existant training program for new employees and newly promoted employees. You have to keep on the supervisors to get your raises. They tell you to ask in a couple of weeks and when you do they ask why you didn't say anything sooner. A lot of do as I say not as I do going on. Management is severely inexperienced. Big smoke and mirror show, they act as if they value employee's opinions but they could care less. They could care less about your family life. I could go on and on. It's probably the worse place I've ever worked.",Decent pay but no one would work there for less and put up with what goes on in Monticello,"Rotating shifts, overtime, management practices"
2016-09-13,2,"Stay away from the Verona plantMaintenance Technician (Former Employee) - Verona, VA - September 13, 2016Currently run by a tyrant and his mini me.","Micromanaging everything. No recognition for a good job but quick to jump you. In the middle of mass exodus. 4 maintenance, 9 production employees gone in 2 months, but here is the good part, we get in no hurry replace them, making others work ridiculous amounts of OT. Can't trust anyone of a higher pay grade then supervisor. They are totally clueless that they are running the people away.",Good company,Tyranny in Verona
2016-09-06,5,"Honesty,stabilityProduction Worker (Former Employee) - Rome, GA - September 6, 2016I would make a great team worker,in a great environment.","I looked forward to a chance to show my dedication .Also the reviews from those whom shared was great..Considering the fact that hard drive to succeed gives me the most impact to be productive  determine,dependable..and more...I understand benefits are provided as well as hourly wages.After reviewing my input,it would be delightful to be a team player of Ball Corporation...",,
2016-07-14,5,"Was Good While it LastedShop Tech (Former Employee) - Bristol, VA - July 14, 2016Compensation and benefits were great.",Leadership roles were almost nonexistent. Ball closed our location and moved production operations to Mexico.,,
2016-06-10,4,"Large Company that is going placesProduction Control and Logistics Planner (Former Employee) - Golden, CO - June 10, 2016Worked there for many years and learned a lot.","Made a lot of life time friends.Hourly employee work 12 hour shifts; 4 on - 4 off (sometimes). 4 weeks of days, 4 weeks of nights. Working most Holidays.","Good Pay, Good People","Working nights, weekends and holidays when most of our families are off."
2016-05-03,4,Loved this place.,"Assisting others (Current Employee) - Horsham, PA - May 3, 2016Loved working here but it closed a long time ago!!!!! Fun place great people all hard working all did there jobs!! free lunch/dinners but long hrs.",all,none
2016-05-02,1,,,,
2016-04-24,3,"job was great but unfortunatley moved to mexico great benefits pay drawback was swing shift hoursMaintenance Technician (Current Employee) - Bristol, VA - April 24, 2016company was good to work for till they decided to open a new plant to mexico for cheaper labor,they didn't car about the 225 that lost their job.",,"ins, pension",hours swing shift
2016-04-08,4,"We make cans!millwright and welder (Current Employee) - Fort Worth, TX - April 8, 2016It's a union shop that makes work more difficult and unfair.","You're stuck on nights for decades intil someone retires or passes away. There is a high turn over of upper management, but none of the problem middle management ever leaves. Currently low morale due to the union.",High pay,"Health benefits, union, work hours"
2016-02-22,3,"Productive and safe place to workCoil Utility (Former Employee) - Weirton, WV - February 22, 2016I worked 12 hour shifts.",Loaded and unloaded coils off trucks.  Loaded sheer lines as needed.  The Supervisor was very good to wrk with+,,
2015-11-08,3,"Nice place to work but the 4 days on 4 days off with rotating shifts was hard with familyMaterials Handler (Former Employee) - Columbus, OH - November 8, 2015The vast majority of my job was driving a forklift and loading and unloading trucks.","It was a very fast paced position with very little to no down time, not even for breaks or lunches.  Working 10 hour days with the rotating shift had some benefits but was hard for my family as  we have children active in sports so I was missing a lot of events.",Having four days off in a row,working 10 hours with short breaks and changing shifts
2015-10-10,4,"Good CompanyOperations Manager (Former Employee) - Batavia, IL - October 10, 2015I liked this company.","Good culture, good advancement opportunities, cared about employees. I'd work here again if given the chance.",,
2015-10-05,5,"ProductionProduction Worker (Current Employee) - Williamsburg, VA - October 5, 2015Load and unload trucks.",How to use a forklift. Management was helpful. Nothing hard about this job. Enjoyable part was testing small engine parts.,close to home,money
2015-09-29,4,"Fast paced environment that changed dailyPlant Controller (Current Employee) - Reidsville, NC - September 29, 2015There is realy not a typical day.",An average day would start by completing daily reporting of the previos days performance.  Other functions would include cost saving and ways to improve the plant performance.I have learned new systems and software upgrades to help in the performance of my responsibilities.Management is frequently changing causing inconsistancy in requirements and policy compliance.  The company employs very talented people with great work ethic unfortuanately it is taken advantage of at times.The travel and the ability to see your contributions to the companys growth is the most rewarding.,"Co-Workers, Ability to Travel, Learning Opportunities","Numbers over People, Inconsistent practices"
2015-09-15,5,"Enjoyed my time thereCad Drafter (Former Employee) - Broomfield, CO - September 15, 2015Nice atmosphere, easy going supervisor.","had enough space in large cube to be comfortable. friendly co-workers, was able to learn new skills, and was able to go to the plant to do as-builts.",Learned many new skills,Ran out of work
2015-08-27,5,"AccountingAccounts Payable Specialist (Former Employee) - Westminster, CO - August 27, 2015Review all invoices for appropriate documentation and approval prior to paymentSort and distribute incoming mailProcess 3 way P.","O. matching invoices, up to 100 plus line itemsPrioritize invoices according to cash discount potential and payment termsProcess check requestsAudit and process credit card billsMatch invoices to checks, obtain all signatures for checks and distribute checks accordingly1099 maintenanceRespond to all vendor inquiriesReconcile vendor statements, research and correct discrepanciesAssist in month end closingMaintain files and documentation thoroughly and accurately, in accordance with company policy and accepted accounting practicesAssist with other projects as needed",,
2015-08-05,4,"complete daily paperwork and run machinesDrum room Attendant (Former Employee) - Weirton, WV - August 5, 2015completed daily paperwork and ran machines took inventory and loaded and unloaded trucks and did schedules.",good steady job.,,
2015-08-03,1,"Not what I thoughtPress Operator (Former Employee) - Hubbard, OH - August 3, 2015Not a great place to work.","Ball itself is an amazing company to work for. I enjoyed making quality containers, when I was given the chance to. A lot of changes on an hourly basis, which was nice. But machines break down a lot, and you have to learn to fix them, when your taught correctly.","Big company, if relocating, it's available",Bad management.
2015-07-15,1,"dying industryMaintainer/Operator of high speed coil shearing (Current Employee) - Weirton, WV - July 15, 2015mismanaged.",disorganized.  incompetent management. not interested in welfare of employees. does not give consideration of family needs of employees.,,
2015-07-07,5,Good place to work wish they didn't downsize.,"Machine Operator (Former Employee) - Oakdale, CA - July 7, 2015Good place to work,  I was a machine operator.  They downsized and I was left jobless. Otherwise it was a great place to work, the management was good.  They had great pay and great benefits.",good place to work,"downsized, terminated"
2015-05-18,2,"too much micro managingManager of Human Resources (Former Employee) - Weirton, WV - May 18, 2015We all would meet with upper management to detail our daily work  plan.","Once completed we would all set out to perform said plains.I would tour the plant to insure that all employees were working is a safe manner, keeping an open eye out for safety violations. Following my tour,  I would meet union leaders to insure that they had no complaints or grievances.I took detailed notes on both my plant tour and my meetings with the union reps, in order to make a daily presentation to my superiors.The hardest part of job was finding time to do my due the number of daily meetings.The most enjoyable part was running a union plant with happy workers.",Great pay and benefits,Being micro managed
2015-05-15,4,"typical daySecurity Officer I (Current Employee) - Broomfield Co - May 15, 2015Customer oriented with need for detail and accuracy.",Computer documentation and communication strongly acccuracy. Report writing with detail.,"Benefits, location",rotation of shifts to often
2015-05-13,5,Lots of fun hard working people which made the job great.,"Head/Lead Maintainer (Former Employee) - Fort Worth, TX - May 13, 2015Great place to work and good people to work with. Worked together to get various jobs done safely and in a timely manner. I liked the fast paced production, always something to do to keep you busy.",people are great and friendly to work with,a lot of overtime
2015-04-15,5,"enjoyable work placeOperator (Former Employee) - Milwaukee  Wisconsin - April 15, 2015BALL Corporation was a very good place to work, I enjoyed going to work every day that I had to work.",Supervisors were nice to work with.,"luncheon rewards, safety",
2015-04-13,1,Lack of knowlege and compassion with management.,"Press Operator (Former Employee) - Hubbard, OH - April 13, 2015Typical day: Clock in, check schedule to find out location of the machine you will be on. I learned new skills of how to load, pack and monitor the machines-which i loved. The issue with this company is the foremen and die setters ( line mainteance) know the machines were old, they break down all day and they expect you to still hit a target goal which is impossible!!!!!! Also i was never told of a no point before 100  days which i was fired!!!! You recieve a whole point for being a min over clock in time, and after 30 work days or when they decide you are forced to work 10 hours instead of 8 hours with little warning and mandatory saturdays. Also i was hired at a higher rate but rate was (LOWER) changed due to trainig in a different area.",pay higher than minium wage,Management suck! waste of time!
2015-04-09,5,All around a great place to work.,"Press Operator (Former Employee) - Hubbard, OH - April 9, 2015The hours are long, and the work is tough, easy but hard on your body. The people are kind, the pay is great and benefits are wonderful. I loved working here and would go back if I could. physically","Co-workers, mangement",physically a hard job
2015-02-09,5,"Great place to workAccounts Payable/Payroll (Former Employee) - Kent, WA - February 9, 2015It was a great place to work.",I loved my job and my co-workers.  The hardest part was I didn't get along with my supervisor. The benefits were great and the company overall seemed to appreciate it's employees.,,
2015-01-31,3,"No opportunities for advancementPress Operator (Current Employee) - Ohio - January 31, 2015You have to have 100 working days of probation.","This entails almost 5 months of probation. You cannot miss days or you will be fired. My plant has a zillion rules and an outrageous point system. It's a point for forgetting to clock out and for being 30 seconds late as well as just calling off. Seems to me, easier to call off if your getting a point for missing or being there all day and forgetting to clock out or clock back in from lunch.  You do not get raises and all the retirees made sure they get their pension with the union contract that is not up until 2018. There is NOTHING for the incoming people. The HR dept. and managers could be better.  It is hard work and a lot of overtime. I watch one miserable hour go by after another. The training process was non existent and it has been a horrible process to learn my job. I'm looking for something else and praying.They also lied to my face and said in interview there would be a shoe reimbursement. A requirement of steel toed shoes and no reimbursement at 100 days and union induction. At $400 a week clear and have to pay $39 a month in union dues at 30 days and not technically in USW until 100 days.",Benefits,All around miserable atmosphere
2015-01-20,3,"Material HandlerMaterial Handler (Former Employee) - Dandridge, TN - January 20, 2015Worked on line pulling finished product.",Worked on line providing raw materials to 8 lines to production to be made into finished product. Then my final position was loading/unloading trucks on nights without any supervision for three and a half years.,was able to work alone with out supervision,worked in varied temperatures
2014-12-05,4,,,,
2014-10-28,5,"Highly productive, focused on safety, Customer driven.","PRODUCTION/MAINTENANCE SUPERVISOR (Former Employee) - Oakdale, Ca - October 28, 2014Ball has been a great company to work for, I have learned many skills in management. Company pushes for growth not only for the company, also for employees willing to learn. Job culture is positive focusing on solutions and being proactive.","Always looking for improvements to stay ahead, very driven for success.",
2014-10-16,2,"Great for the money & nothing elseLead Production Technician (Former Employee) - Conroe, TX - October 16, 2014Typical production company.",The pay is about the only great thing about working for Ball.,"Great pay, plenty of downtime & breaks","Poor management, favortism in advancement, lack of empathy, poor morale"
2014-10-03,4,Great boss.,"Administrative Assistant/Receptionist (Former Employee) - Crystal Lake, IL - October 3, 2014No stress position for a wonderful manager.  Lots of typing proposals, expense reports, answering phones.  Loved it.",,
2014-09-09,5,"Always enjoyed going to workMaintenance Manager (Former Employee) - Torrance, CA - September 9, 2014Good people, highly focused company always upgrading.",Enjoyed family atmosphere.,Good place to work,none
2014-09-05,3,"How do they make money here???coater-operator (Current Employee) - weirton, wv - September 5, 2014I've worked at Ball for fifteen years and have always felt they were on the verge of shutting down because of how poorly it's been run.","I bagged for five years, stacked for three, operated a multi-die press for five and am currently a coater operator.  It has gotten considerably worse the last three years with new management.  They are investing in new offices and the cosmetics of the place while we are forced to literally duct tape and jerry rig equipment to keep it running- no exaggeration!",lots of overtime--lots of people working overtime to stand around doing nothing.,You'll definatly feel like at any minute---pink slip!!!
2014-07-23,3,,,,
2014-05-30,3,Productive work place with high expectations.,"Packer/ Press Operater (Current Employee) - Verona, VA - May 30, 2014A typical day at work is busy. I've learned how to operate heavy machinery and how to work in a team setting. My co-workers are heplful and respectful. The hardest part of my job is staying alert from 7pm to 7am. The most enjoyable part of my job is accomplishing the goals that are set for employees there.",Good pay. Good attitudes. Positive work enviornment.,Long hours.
2014-05-22,5,"TeamWorks as Brothers & Sisters help each other each day to get job done fast and safeMaintenance Machinist (Former Employee) - Elgin, ILLINOIS - May 22, 2014Every workday at Ball.","We start with 5 minutes Safety Meeting to make sure everyone work smart and safe. get work orders, follow up from the previous shift, and select which one is the most important priority to get production lines going. We work as a teamwork to help each other to get the job done fast and safe. After we make sure the production lines running, we work in the tool room like Overhaul production equipments, and fabricate replacements and repair parts.At the end of the day, we Utilize computerized maintenance management system (EAM) to document and keep track of work performed, and make sure the follow shift follow up what needed to be done.",,
2014-05-16,3,"Not bad, unsupportive managementChemical Process Maintainer/Maintenance Technician (Former Employee) - Golden, CO - May 16, 2014good work not great management.",rotating shift and a lot of mechanical experience. good work environment.,,
2014-05-04,3,Working in trouble shooting.,"Press Line Maintainer. (Former Employee) - Elgin, IL - May 4, 2014When any of my co-workers, had any problem, I was ready to help him to find the problem and solved. Or the other way around could happen to. Thus , we worked like a team. There is not secret to fix any kind of problem, passing  the voice how was corrected or logging it in the book. During lunch time, we could work out or have a nice chat with the rest of our department or other department too. Maybe the hardest part of the job was, when we were facing some delayed in delivery or stop waiting from our suppliers. besides, that we always enjoy to work and help to each other on daily basis.",,
2014-03-31,1,"A day at BallAuto Pack Operator / Palletizer Operator (Former Employee) - ELGIN ILLINOIS 60120 - March 31, 2014Everything was fine working here until Ball came and bought out U.",S.Can company everything was manatory of overtime these people don't care about your life with kids just want to control peoples life when they knew the company the employes made money for years decided to close plant and take job somewhere else and pay 9 dollars and hour Ball corporation are plant closers they don't like company with unions.,,
2014-03-22,5,"challenging and engaging workElectrical Technician (Current Employee) - Wallkill, New York, USA - March 22, 2014My job requires me to maintain the electrical systems in a high speed production facility.",I have learned about the machinery used in the high speed manufacture of beverage cans. I enjoy working with my co-workers and work well with all levels of management. The hardest part of the job is being new to the facility and learning this equipment for the first time. Also the rotating shifts from nights to days and the 12 hour shifts can be difficult. The most enjoyable part of the job is the autonomy given to me to do my job and the satisfaction of completing a project.,work is challenging and allows me to learn and grow,rotating and 12 hour shifts
2014-03-09,5,"Good place to work, job security.","Quality Assurance Manger (Current Employee) - weirton wv - March 9, 2014I have worked there for 19 years. Bonuses in the form of sports tickets, gift certificates, etc. As much overtime as you want.",overtime,need to relocate
2014-02-13,1,"There are some county jails in this country that treat thier people betterQuality Control Analyst (Former Employee) - Middletown, NY - February 13, 2014Absolutely worst place to work.",Want to bust your butt working 12 hour rotating shift while the supervisor literally stands over your shoulder watching ever move you make? Then work here!,"Union, Good Pay",Managment
2014-01-27,3,"Fast paced work environment with good opertunitiesAssembly Maintenance Mechanic (Former Employee) - DeForest, WI - January 27, 2014A typical day here consist of doing quality checks on cans made and repairing any machines that went down.",I learned a lot about manufacturing equipment and how to work on it.Management was ok here but did not seem to have a very good idea of day to day operations on the floor.(Not very well organized.)Co-workers all got along and worked together very well.Forced to work a lot of over time at last minute notice.The best part of this job was working with the machines and the learning experiences.,"Benifits, and rewards for major acheivements",Many long shifts without a day off
